"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"29020","Kokomo, IN (Metropolitan Statistical Area)",43879
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",49725
"29180","Lafayette, LA (Metropolitan Statistical Area)",45365
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",39211
"29340","Lake Charles, LA (Metropolitan Statistical Area)",48979
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",33076
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",35351
"29540","Lancaster, PA (Metropolitan Statistical Area)",47546
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",41227
"29700","Laredo, TX (Metropolitan Statistical Area)",32389
"29740","Las Cruces, NM (Metropolitan Statistical Area)",37227
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",43933
"29940","Lawrence, KS (Metropolitan Statistical Area)",43518
"30020","Lawton, OK (Metropolitan Statistical Area)",42054
"30140","Lebanon, PA (Metropolitan Statistical Area)",45814
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",45689
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",39634
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",48345
"30620","Lima, OH (Metropolitan Statistical Area)",45170
"30700","Lincoln, NE (Metropolitan Statistical Area)",49387
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",46036
"30860","Logan, UT-ID (Metropolitan Statistical Area)",38542
"30980","Longview, TX (Metropolitan Statistical Area)",41181
"31020","Longview, WA (Metropolitan Statistical Area)",43629
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",49222
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",50346
"31180","Lubbock, TX (Metropolitan Statistical Area)",41162
"31340","Lynchburg, VA (Metropolitan Statistical Area)",41112
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",43178
"31460","Madera, CA (Metropolitan Statistical Area)",38358
"31540","Madison, WI (Metropolitan Statistical Area)",55655
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",51081
"31740","Manhattan, KS (Metropolitan Statistical Area)",45986
"31860","Mankato, MN (Metropolitan Statistical Area)",47218
"31900","Mansfield, OH (Metropolitan Statistical Area)",41845
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",28793
"32780","Medford, OR (Metropolitan Statistical Area)",43732
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",46575
"32900","Merced, CA (Metropolitan Statistical Area)",38521
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",47666
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",46051
"33220","Midland, MI (Metropolitan Statistical Area)",60764
"33260","Midland, TX (Metropolitan Statistical Area)",102904
"33340","Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",53933
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",55918
"33540","Missoula, MT (Metropolitan Statistical Area)",46784
"33660","Mobile, AL (Metropolitan Statistical Area)",40178
"33700","Modesto, CA (Metropolitan Statistical Area)",41017
"33740","Monroe, LA (Metropolitan Statistical Area)",43197
"33780","Monroe, MI (Metropolitan Statistical Area)",46583
"33860","Montgomery, AL (Metropolitan Statistical Area)",44365
"34060","Morgantown, WV (Metropolitan Statistical Area)",42660
"34100","Morristown, TN (Metropolitan Statistical Area)",40538
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",48283
"34620","Muncie, IN (Metropolitan Statistical Area)",39449
"34740","Muskegon, MI (Metropolitan Statistical Area)",40582
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",38850
"34900","Napa, CA (Metropolitan Statistical Area)",53636
"34940","Naples-Marco Island, FL (Metropolitan Statistical Area)",81367
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",55229
"35100","New Bern, NC (Metropolitan Statistical Area)",47255
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",45981
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",49716
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",56688
"35660","Niles, MI (Metropolitan Statistical Area)",49102
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",51093
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",52769
"36100","Ocala, FL (Metropolitan Statistical Area)",37500
"36140","Ocean City, NJ (Metropolitan Statistical Area)",52710
"36220","Odessa, TX (Metropolitan Statistical Area)",42206
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",41997
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",47744
"36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",43298
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",56718
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",40335
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",48567
"36980","Owensboro, KY (Metropolitan Statistical Area)",43177
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",47657
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",42960
"37460","Panama City, FL (Metropolitan Statistical Area)",41964
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",42162
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",42801
"37900","Peoria, IL (Metropolitan Statistical Area)",48718
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",55052
"38060","Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",43008
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",38141
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",55022
"38340","Pittsfield, MA (Metropolitan Statistical Area)",52654
"38540","Pocatello, ID (Metropolitan Statistical Area)",39557
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",50990
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",50444
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",50730
"39100","Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area) 4/","(NA)"
"39150","Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",37954
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",49683
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",38030
"39380","Pueblo, CO (Metropolitan Statistical Area)",39105
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",39639
"39540","Racine, WI (Metropolitan Statistical Area)",48295
"39580","Raleigh-Cary, NC (Metropolitan Statistical Area)",51563
"39660","Rapid City, SD (Metropolitan Statistical Area)",50491
"39740","Reading, PA (Metropolitan Statistical Area)",46691
"39820","Redding, CA (Metropolitan Statistical Area)",43809
"39900","Reno, NV (Metropolitan Statistical Area)",53979
"40060","Richmond, VA (Metropolitan Statistical Area)",54645
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",34397
"40220","Roanoke, VA (Metropolitan Statistical Area)",47504
"40340","Rochester, MN (Metropolitan Statistical Area)",52926
"40380","Rochester, NY (Metropolitan Statistical Area)",48012
"40420","Rockford, IL (Metropolitan Statistical Area)",45228
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",42457
"40660","Rome, GA (Metropolitan Statistical Area)",43436
"40900","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",50283
"40980","Saginaw, MI (Metropolitan Statistical Area)",40361
"41060","St. Cloud, MN (Metropolitan Statistical Area)",46648
"41100","St. George, UT (Metropolitan Statistical Area)",36791
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",41947
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",55028
"41420","Salem, OR (Metropolitan Statistical Area)",40275
"41500","Salinas, CA (Metropolitan Statistical Area)",47257
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",50148
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",47003
"41660","San Angelo, TX (Metropolitan Statistical Area)",44656
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",45142
"41740","San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",47562
"41860","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",68773
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",71610
"42020","San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",49202
"42100","Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",48327
"42140","Santa Fe, NM (Metropolitan Statistical Area)",53208
"42200","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",51693
"42220","Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",46290
"42340","Savannah, GA (Metropolitan Statistical Area)",45278
"42540","Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",45073
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",59414
"42680","Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",74700
"42700","Sebring-Avon Park, FL (Metropolitan Statistical Area)",37579
"43100","Sheboygan, WI (Metropolitan Statistical Area)",53672
"43300","Sherman-Denison, TX (Metropolitan Statistical Area)",42036
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)",46920
"43420","Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",41819
"43580","Sioux City, IA-NE-SD (Metropolitan Statistical Area)",51600
"43620","Sioux Falls, SD (Metropolitan Statistical Area)",59404
"43780","South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",49332
"43900","Spartanburg, SC (Metropolitan Statistical Area)",44892
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",44082
"44100","Springfield, IL (Metropolitan Statistical Area)",48676
"44140","Springfield, MA (Metropolitan Statistical Area)",48902
"44180","Springfield, MO (Metropolitan Statistical Area)",43991
"44220","Springfield, OH (Metropolitan Statistical Area)",42996
"44300","State College, PA (Metropolitan Statistical Area)",41150
"44420","Staunton, VA (Metropolitan Statistical Area)",47740
"44700","Stockton, CA (Metropolitan Statistical Area)",40491
"44940","Sumter, SC (Metropolitan Statistical Area)",39423
"45060","Syracuse, NY (Metropolitan Statistical Area)",46949
"45220","Tallahassee, FL (Metropolitan Statistical Area)",41349
"45300","Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",43528
"45460","Terre Haute, IN (Metropolitan Statistical Area)",40435
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)",39727
"45540","The Villages, FL (Metropolitan Statistical Area)",45078
"45780","Toledo, OH (Metropolitan Statistical Area)",48399
"45820","Topeka, KS (Metropolitan Statistical Area)",46896
"45940","Trenton-Princeton, NJ (Metropolitan Statistical Area)",56092
"46060","Tucson, AZ (Metropolitan Statistical Area)",42110
"46140","Tulsa, OK (Metropolitan Statistical Area)",53707
"46220","Tuscaloosa, AL (Metropolitan Statistical Area)",39161
"46300","Twin Falls, ID (Metropolitan Statistical Area) 4/",39568
"46340","Tyler, TX (Metropolitan Statistical Area)",52603
"46520","Urban Honolulu, HI (Metropolitan Statistical Area)",43452
"46540","Utica-Rome, NY (Metropolitan Statistical Area)",43497
"46660","Valdosta, GA (Metropolitan Statistical Area)",40448
"46700","Vallejo, CA (Metropolitan Statistical Area)",38279
"47020","Victoria, TX (Metropolitan Statistical Area)",44077
"47220","Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",37150
"47260","Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",47216
"47300","Visalia, CA (Metropolitan Statistical Area)",39464
"47380","Waco, TX (Metropolitan Statistical Area)",40778
"47460","Walla Walla, WA (Metropolitan Statistical Area)",44006
"47580","Warner Robins, GA (Metropolitan Statistical Area)",43595
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",55606
"47940","Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",45983
"48060","Watertown-Fort Drum, NY (Metropolitan Statistical Area)",43637
"48140","Wausau-Weston, WI (Metropolitan Statistical Area)",49729
"48260","Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",43539
"48300","Wenatchee, WA (Metropolitan Statistical Area)",47357
"48540","Wheeling, WV-OH (Metropolitan Statistical Area)",50706
"48620","Wichita, KS (Metropolitan Statistical Area)",51928
"48660","Wichita Falls, TX (Metropolitan Statistical Area)",44181
"48700","Williamsport, PA (Metropolitan Statistical Area)",42585
"48900","Wilmington, NC (Metropolitan Statistical Area)",42941
"49020","Winchester, VA-WV (Metropolitan Statistical Area)",47753
"49180","Winston-Salem, NC (Metropolitan Statistical Area)",46378
"49340","Worcester, MA-CT (Metropolitan Statistical Area)",48867
"49420","Yakima, WA (Metropolitan Statistical Area)",42888
"49620","York-Hanover, PA (Metropolitan Statistical Area)",47028
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",44447
"49700","Yuba City, CA (Metropolitan Statistical Area)",40598
"49740","Yuma, AZ (Metropolitan Statistical Area)",36801
"Legend / Footnotes:"
"1/ Real personal income for metropolitan areas is personal income divided by the RPPs and the national PCE price index. The result is a chained dollar estimate of real personal income, in millions of chained 2012 dollars. Calculations are performed on unrounded data."
"2/ Real per capita personal income is total real personal income divided by total midyear population."
"4/ Real personal income estimates are not available for Enid, OK prior to 2013, Twin Falls, ID prior to 2015 and Poughkeepsie-Newburgh-Middletown, NY for 2008-2017."
"(NA) Not available."
"Last updated: November 14, 2019-- revised statistics for 2008-2017."
