Metro Name,Income
"Springfield, OH (Metropolitan Statistical Area)",42996
"State College, PA (Metropolitan Statistical Area)",41150
"Staunton, VA (Metropolitan Statistical Area)",47740
"Stockton, CA (Metropolitan Statistical Area)",40491
"Sumter, SC (Metropolitan Statistical Area)",39423
"Syracuse, NY (Metropolitan Statistical Area)",46949
"Tallahassee, FL (Metropolitan Statistical Area)",41349
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",43528
"Terre Haute, IN (Metropolitan Statistical Area)",40435
"Texarkana, TX-AR (Metropolitan Statistical Area)",39727
"The Villages, FL (Metropolitan Statistical Area)",45078
"Toledo, OH (Metropolitan Statistical Area)",48399
"Topeka, KS (Metropolitan Statistical Area)",46896
"Trenton-Princeton, NJ (Metropolitan Statistical Area)",56092
"Tucson, AZ (Metropolitan Statistical Area)",42110
"Tulsa, OK (Metropolitan Statistical Area)",53707
"Tuscaloosa, AL (Metropolitan Statistical Area)",39161
"Twin Falls, ID (Metropolitan Statistical Area) 4/",39568
"Tyler, TX (Metropolitan Statistical Area)",52603
"Urban Honolulu, HI (Metropolitan Statistical Area)",43452
"Utica-Rome, NY (Metropolitan Statistical Area)",43497
"Valdosta, GA (Metropolitan Statistical Area)",40448
"Vallejo, CA (Metropolitan Statistical Area)",38279
"Victoria, TX (Metropolitan Statistical Area)",44077
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",37150
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",47216
"Visalia, CA (Metropolitan Statistical Area)",39464
"Waco, TX (Metropolitan Statistical Area)",40778
"Walla Walla, WA (Metropolitan Statistical Area)",44006
"Warner Robins, GA (Metropolitan Statistical Area)",43595
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",55606
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",45983
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",43637
"Wausau-Weston, WI (Metropolitan Statistical Area)",49729
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",43539
"Wenatchee, WA (Metropolitan Statistical Area)",47357
"Wheeling, WV-OH (Metropolitan Statistical Area)",50706
"Wichita, KS (Metropolitan Statistical Area)",51928
"Wichita Falls, TX (Metropolitan Statistical Area)",44181
"Williamsport, PA (Metropolitan Statistical Area)",42585
"Wilmington, NC (Metropolitan Statistical Area)",42941
"Winchester, VA-WV (Metropolitan Statistical Area)",47753
"Winston-Salem, NC (Metropolitan Statistical Area)",46378
"Worcester, MA-CT (Metropolitan Statistical Area)",48867
"Yakima, WA (Metropolitan Statistical Area)",42888
"York-Hanover, PA (Metropolitan Statistical Area)",47028
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",44447
"Yuba City, CA (Metropolitan Statistical Area)",40598
"Yuma, AZ (Metropolitan Statistical Area)",36801
,
,
,
,
,
,
